lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,lbp10,lbp11,lbp12,lbp13,lbp14,Class
11826,5218,9276,2774,9211,3000,7032,5223,7146,8671,9079,14290,1
13027,6234,9208,3392,7946,3599,6300,5294,6649,8029,8109,11939,1
12066,5267,9230,2743,8915,2898,6797,4966,6967,8388,8409,13591,1
12787,6172,9513,3454,8198,3775,6450,5445,6446,7557,7400,11354,1
11922,5028,9050,2418,8925,2659,6965,4731,6711,8032,8207,13821,1
13209,6224,9400,3390,7819,3419,5940,4991,5866,7545,7316,10871,1
12094,5249,9197,2653,8973,3212,6910,5085,7093,8640,8789,13661,1
12091,5850,9476,3266,9224,3651,7349,5952,7559,9492,8847,14473,1
11789,5335,9078,2823,8709,3296,6966,5174,7077,8626,8255,13090,1
12651,6367,9082,3467,8030,3502,6169,5266,6381,7819,7969,11391,1
12191,5290,9243,2715,8634,3014,6536,5110,6757,8664,8713,13243,1
11844,5256,9150,2673,8848,2998,6962,5244,7096,8460,8331,13518,1
12932,6159,9334,3532,8084,3633,6468,5354,6692,8030,7907,11758,1
12989,6179,9263,3492,8280,3855,6394,5278,6594,7883,7972,11825,1
11949,5179,9104,2823,8729,3186,6781,5037,6899,8255,8564,13373,1
11996,5405,9410,2779,8744,3003,6903,5069,7022,8728,8989,14081,1
9187,3756,8286,1878,9604,2597,8072,5612,9014,11240,14670,23593,1
11658,5114,9477,2712,9336,3118,7469,5517,7245,8755,8575,14085,1
12682,6355,9441,3639,8519,3926,7206,6058,7331,8777,8471,12723,1
11589,5049,9253,2530,9313,2898,7218,5206,7181,8774,8858,14444,1
13117,6317,9404,3453,7967,3671,6169,5207,6237,7892,8299,11511,1
12190,5480,8924,2698,8264,2943,6346,5105,6670,8434,8448,13391,1
12257,5232,9056,2702,8723,3039,6693,5102,6678,8566,8858,13333,1
12031,5338,9294,2727,8769,3296,6957,5609,7354,8889,9068,13960,1
13054,6323,9273,3333,7811,3522,5894,4916,6176,7783,8066,11315,1
11946,5321,9381,2646,8846,2999,7106,5270,7107,9020,9109,14234,1
12123,5575,9211,2887,8669,3351,6843,5482,6876,8727,8414,13643,1
12127,5407,9436,2861,8664,3137,6920,5181,6744,8781,9324,14289,1
11691,5269,9383,2785,9398,3254,7343,5601,7322,8901,8116,13560,1
12799,6393,9533,3817,8441,3992,6631,6002,7216,8823,8589,12431,1
13200,6337,9568,3484,7804,3477,5992,5013,6000,7596,7518,11114,1
13051,6456,9399,3566,7990,3718,6090,5209,5906,7165,6910,10426,1
13201,6523,9512,3527,7914,3702,5920,4969,5978,7386,7347,10744,1
13016,6383,9461,3454,8009,3520,6029,5314,6248,7814,7438,11187,1
13295,6433,9241,3519,7685,3724,6066,5435,6339,7668,7639,11094,1
13230,6534,9166,3555,7681,3806,5987,5244,6186,7584,7550,10858,1
13230,6410,9430,3589,7957,3662,6033,5118,6135,7740,7560,10796,1
12780,6249,9618,3527,8507,3828,6477,5430,6626,8179,7705,11706,1
